name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
hcastlea|Haunted Castle (set 2)|clone|konami/hcastle.cpp|0|256|224|59.000000||hcastle||Konami
hcastlej|Akuma-Jou Dracula (Japan)|clone|konami/hcastle.cpp|0|256|224|59.000000||hcastle||Konami
headon|Head On (2 players)|parent|sega/vicdual.cpp|0|256|224|60.000000||||Gremlin
headon2|Head On 2|parent|sega/vicdual.cpp|0|256|224|60.000000||||Sega
headonb|Head On (1 player)|clone|sega/vicdual.cpp|0|256|224|60.000000||headon||Gremlin
heberpop|Hebereke no Popoon (Japan)|parent|sunelectronics/shangha3.cpp|0|384|224|59.410646||||Atlus/Sunsoft
heiankyo|Heiankyo Alien|parent|sega/vicdual.cpp|270|256|224|60.000000||||Denki Onkyo
helifira|HeliFire (revision A)|clone|nintendo/n8080.cpp|270|256|224|61.523438||helifire||Nintendo
helifire|HeliFire (revision B)|parent|nintendo/n8080.cpp|270|256|224|61.523438||||Nintendo
hellfire|Hellfire|parent|toaplan/toaplan1.cpp|0|320|240|57.613169||||Taito/Toaplan
herbiedk|Herbie at the Olympics (DK conversion)|parent|nintendo/dkong.cpp|270|256|224|60.606061||||CVS
hexa|Hexa|parent|taito/arkanoid.cpp|0|256|224|59.185606||||D. R. Korea
hharry|Hammerin' Harry (World)|parent|irem/m72.cpp|0|384|256|55.017606||||Irem\M72
hharryu|Hammerin' Harry (US)|clone|irem/m72.cpp|0|384|256|55.017606||hharry||Irem\M72
higemaru|Pirate Ship HigeMaru|parent|capcom/higemaru.cpp|0|256|224|60.000000||||Capcom
hiimpact|High Impact Football (rev LA3 12/27/90)|parent|midway/midyunit.cpp|0|410|256|54.706840||||Williams
hippodrm|Hippodrome (US)|parent|dataeast/dec0.cpp|0|256|240|57.444853||||Data East
hishouza|Hishou Zame (Japan)|clone|toaplan/twincobr.cpp|270|320|240|54.877858||fshark||Taito/Toaplan
hitice|Hit the Ice (US)|parent|taito/taito_b.cpp|0|320|224|60.000000||||Williams
hitnmis2|Hit 'n Miss (version 2.0)|clone|exidy/exidy440.cpp|0|320|240|60.000000||hitnmiss||Exidy
hitnmiss|Hit 'n Miss (version 3.0)|parent|exidy/exidy440.cpp|0|320|240|60.000000||||Exidy
hoccer|Hoccer (set 1)|parent|orca/marineb.cpp|90|256|224|60.000000||||Eastern Micro Electronics
hoccer2|Hoccer (set 2)|clone|orca/marineb.cpp|90|256|224|60.000000||hoccer||Eastern Micro Electronics
homo|Homo|clone|suna/goindol.cpp|90|256|224|60.000000||goindol||
hook|Hook (World)|parent|irem/m92.cpp|0|320|240|60.000000||||Irem\M92
hooku|Hook (US)|clone|irem/m92.cpp|0|320|240|60.000000||hook||Irem\M92
hopmappy|Hopping Mappy|parent|namco/namcos86.cpp|0|288|224|60.606061||||Namco
hopprobo|Hopper Robo|parent|orca/marineb.cpp|90|256|224|60.000000||||Sega
horshoes|American Horseshoes (US)|parent|taito/taito_l.cpp|270|320|224|60.000000||||Taito
hotchase|Hot Chase|parent|konami/wecleman.cpp|0|320|224|60.000000||||Konami
hotshock|Hot Shocker|parent|galaxian/scramble.cpp|90|256|224|60.606061||||E.G. Felaco
hpolym84|Hyper Olympics '84|clone|konami/hyperspt.cpp|0|256|224|60.000000||hyperspt||Konami
hpuncher|Hard Puncher (Japan)|clone|konami/twin16.cpp|0|320|224|60.606061||fround||Konami
hthero|Hat Trick Hero (Japan)|clone|taito/taito_f2.cpp|0|320|224|60.000000||footchmp||Taito
hunchbkd|Hunchback (Donkey Kong conversion)|parent|nintendo/dkong.cpp|270|256|224|60.606061||||Century
hunchbks|Hunchback (Scramble hardware)|clone|galaxian/scramble.cpp|90|256|224|60.606061||hunchbkd||Century
hustle|Hustle|parent|sega/blockade.cpp|0|256|224|60.114504||||Gremlin
hustler|Video Hustler|parent|galaxian/scobra.cpp|90|256|224|60.606061||||Konami
hustlerb|Video Hustler (bootleg)|clone|galaxian/scobra.cpp|90|256|224|60.606061||hustler||
hvymetal|Heavy Metal|parent|sega/system1.cpp|0|512|224|60.096154||||Sega
hwchamp|Heavyweight Champ|parent|sega/segas16b.cpp|0|320|224|60.054389||||Sega\System16
hwrace|High Way Race|parent|taito/taitosj.cpp|270|256|224|59.185606||||Taito
hydra|Hydra|parent|atari/atarig1.cpp|0|336|240|59.922743||||Atari
hydrap|Hydra (prototype)|clone|atari/atarig1.cpp|0|336|240|59.922743||hydra||Atari
hyperspt|Hyper Sports|parent|konami/hyperspt.cpp|0|256|224|60.000000||||Centuri/Konami
hyprolyb|Hyper Olympic (bootleg)|clone|konami/trackfld.cpp|0|256|224|60.000000||trackfld||
hyprolym|Hyper Olympic|clone|konami/trackfld.cpp|0|256|224|60.000000||trackfld||Konami
hypsptsp|Hyper Sports Special (Japan)|clone|konami/88games.cpp|0|320|224|60.000000||88games||Konami
iganinju|Iga Ninjyutsuden (Japan)|parent|jaleco/megasys1.cpp|0|256|224|56.191350||||Jaleco
ikari|Ikari Warriors (US)|parent|snk/snk.cpp|270|288|216|60.000000||||SNK
ikari3|Ikari III - The Rescue|parent|snk/snk68.cpp|0|256|224|59.185606||||SNK
