name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
cm2841a|Cherry Master II v8.41 (set 2)|clone|||||||cm2v841||Dyna Electronics
cm2v841|Cherry Master II v8.41 (set 1)|parent|||||||||Dyna Electronics
cmehyou|Mahjong Circuit no Mehyou (Japan)|parent|nichibutsu/nbmj9195.cpp|0|640|240|60.000000||||Kawakusu/Nichibutsu
cmissnx|Mission-X (Cassette)|parent|dataeast/decocass.cpp|270|256|240|57.444853|decocass|||Data East
cmv801|Cherry Master (v8.01)|parent|igs/goldstar.cpp|0|512|224|60.000000||||Corsica
cnights2|Night Star (Cassette, set 2)|clone|dataeast/decocass.cpp|270|256|240|57.444853|decocass|cnightst||Data East
cnightst|Night Star (Cassette, set 1)|parent|dataeast/decocass.cpp|270|256|240|57.444853|decocass|||Data East
cninja|Caveman Ninja (World revision 3)|parent|dataeast/cninja.cpp|0|256|240|58.238857||||Data East
cninja0|Caveman Ninja (World revision 0)|clone|dataeast/cninja.cpp|0|256|240|58.238857||cninja||Data East
cninjau|Caveman Ninja (US)|clone|dataeast/cninja.cpp|0|256|240|58.238857||cninja||Data East
cntsteer|Counter Steer|parent|dataeast/cntsteer.cpp|270|256|240|60.000000||||Data East
cobracmj|Cobra-Command (Japan)|clone|dataeast/dec8.cpp|0|256|240|57.444853||cobracom||Data East
cobracom|Cobra-Command (World revision 5)|parent|dataeast/dec8.cpp|0|256|240|57.444853||||Data East
colmns97|Columns '97 (JET 961209 V1.000)|parent|sega/stv.cpp|0|352|224|59.764802|stvbios|||Sega
colony7|Colony 7 (set 1)|parent|midway/williams.cpp|270|292|240|60.096154||||Taito
colony7a|Colony 7 (set 2)|clone|midway/williams.cpp|270|292|240|60.096154||colony7||Taito
colt|Colt|clone|taito/nycaptor.cpp|0|256|224|60.000000||nycaptor||
column2j|Columns II: The Voyage Through Time (Japan)|clone|sega/segac2.cpp|0|256|224|59.922743||columns2||Sega
columns|Columns (World)|parent|sega/segac2.cpp|0|256|224|59.922743||||Sega
columns2|Columns II: The Voyage Through Time (World)|parent|sega/segac2.cpp|0|256|224|59.922743||||Sega
columnsj|Columns (Japan)|clone|sega/segac2.cpp|0|256|224|59.922743||columns||Sega
columnsu|Columns (US, cocktail)|clone|sega/segac2.cpp|0|256|224|59.922743||columns||Sega
combasc|Combat School (joystick)|parent|||||||||Konami
combascb|Combat School (bootleg)|clone|||||||combasc||
combascj|Combat School (Japan trackball)|clone|||||||combasc||Konami
combasct|Combat School (trackball)|clone|||||||combasc||Konami
combat|Combat (version 3.0)|parent|exidy/exidy440.cpp|0|320|240|60.000000||||Exidy
commandj|Senjou no Ookami|clone|capcom/commando.cpp|270|256|224|59.637405||commando||Capcom
commando|Commando (World)|parent|capcom/commando.cpp|270|256|224|59.637405||||Capcom
commandu|Commando (US)|clone|capcom/commando.cpp|270|256|224|59.637405||commando||Capcom/Data East
commandw|Command War - Super Special Battle & War Game (Ver 0.0J) (Prototype)|parent|taito/taito_f3.cpp|0|320|224|58.970000||||Taito\F3
commsega|Commando (Sega)|parent|namco/rallyx.cpp|90|256|224|60.606061||||Sega
comotion|Comotion|parent|sega/blockade.cpp|0|256|224|60.114504||||Gremlin
compglfo|Competition Golf Final Round (old version)|clone|dataeast/compgolf.cpp|0|248|240|60.000000||compgolf||Data East
compgolf|Competition Golf Final Round (revision 3)|parent|dataeast/compgolf.cpp|0|248|240|60.000000||||Data East
complexx|Complex X|parent|taito/qix.cpp|270|256|256|55.838470||||Taito
condor|Condor|clone|phoenix/phoenix.cpp|90|256|208|61.035156||phoenix||Sidam
congo|Congo Bongo|parent|sega/zaxxon.cpp|90|256|224|59.999408||||Sega
conquer|Conquer|parent|galaxian/scramble.cpp|90|256|224|60.606061||||
contcirc|Continental Circus (World)|parent|taito/taito_z.cpp|0|320|224|60.055992||||Taito
contcrcu|Continental Circus (US set 1)|clone|taito/taito_z.cpp|0|320|224|60.055992||contcirc||Taito
contcrua|Continental Circus (US set 2)|clone|taito/taito_z.cpp|0|320|224|60.055992||contcirc||Taito
contra|Contra (US)|parent|konami/contra.cpp|90|280|224|60.000000||||Konami
contrab|Contra (US bootleg)|clone|konami/contra.cpp|90|280|224|60.000000||contra||
contraj|Contra (Japan)|clone|konami/contra.cpp|90|280|224|60.000000||contra||Konami
contrajb|Contra (Japan bootleg)|clone|konami/contra.cpp|90|280|224|60.000000||contra||
cookbib|Cookie & Bibi|parent|dataeast/tumbleb.cpp|0|320|240|60.000000||||SemiCom
cookbib2|Cookie & Bibi 2|parent|kaneko/snowbros.cpp|0|256|224|57.500000||||SemiCom
cookbib3|Cookie & Bibi 3|parent|kaneko/snowbros.cpp|0|256|224|57.500000||||SemiCom
cookrace|Cook Race|clone|dataeast/btime.cpp|270|240|240|57.444853||btime||
coolmini|Cool Minigame Collection|parent|misc/vamphalf.cpp|0|320|236|59.000000||||SemiCom
coolpool|Cool Pool|parent|misc/coolpool.cpp|0|320|240|60.012477||||Catalina
coolridr|Cool Riders|parent|sega/coolridr.cpp|0|496|384|57.000000||||Sega
cop01|Cop 01 (set 1)|parent|nichibutsu/cop01.cpp|0|256|224|60.000000||||Nichibutsu
cop01a|Cop 01 (set 2)|clone|nichibutsu/cop01.cpp|0|256|224|60.000000||cop01||Nichibutsu
copsnrob|Cops'n Robbers|parent|atari/copsnrob.cpp|0|256|200|60.020708||||Atari
cosmccop|Cosmic Cop (World)|parent|irem/m72.cpp|0|384|256|55.017606||||Irem\M72
cosmica|Cosmic Alien|parent|universal/cosmic.cpp|270|256|192|58.639833||||Universal
cosmica2|Cosmic Alien (older)|clone|universal/cosmic.cpp|270|256|192|58.639833||cosmica||Universal
cosmicg|Cosmic Guerilla|parent|universal/cosmicg.cpp|270|256|192|59.885932||||Universal
cosmicm2|Cosmic Monsters 2|clone|midw8080/8080bw.cpp|270|260|224|59.541985||invaders||Universal
cosmicmo|Cosmic Monsters|clone|midw8080/8080bw.cpp|270|260|224|59.541985||invaders||Universal
cosmo|Cosmo|parent|midw8080/8080bw.cpp|90|260|224|59.541985||||TDS & Mints
cosmogng|Cosmo Gang the Video (US)|parent|namco/namcos2.cpp|90|288|224|60.606061||||Namco\System2
cosmognj|Cosmo Gang the Video (Japan)|clone|namco/namcos2.cpp|90|288|224|60.606061||cosmogng||Namco\System2
cosmos|Cosmos|parent|cvs/cvs.cpp|90|240|248|60.000000|cvs|||Century Electronics
cotton|Cotton (set 3, World, FD1094 317-0181a)|parent|sega/segas16b.cpp|0|320|224|60.054389||||Sega\System16/Success
cotton2|Cotton 2 (JUET 970902 V1.000)|parent|sega/stv.cpp|0|352|224|59.764802|stvbios|||Success
cottonbm|Cotton Boomerang (JUET 980709 V1.000)|parent|sega/stv.cpp|0|352|224|59.764802|stvbios|||Success
cottong|Cotocoto Cottong|clone|namco/rallyx.cpp|90|256|224|60.606061||locomotn||
cottonj|Cotton (set 1, Japan, FD1094 317-0179a)|clone|sega/segas16b.cpp|0|320|224|60.054389||cotton||Sega\System16/Success
cottonu|Cotton (set 2, US, FD1094 317-0180)|clone|sega/segas16b.cpp|0|320|224|60.054389||cotton||Sega\System16/Success
countrb2|Counter Run (bootleg set 2)|clone|misc/freekick.cpp|0|256|224|59.410646||countrun||
countrnb|Counter Run (bootleg set 1)|clone|misc/freekick.cpp|0|256|224|59.410646||countrun||
countrun|Counter Run|parent|misc/freekick.cpp|0|256|224|59.410646||||Nihon System/Sega
countryc|Country Club|clone|snk/snk.cpp|0|288|216|60.000000||fitegolf||SNK
couple|The Couples (Set 1)|parent|merit/merit.cpp|0|512|256|76.293945||||Merit
couplei|The Couples (Set 3)|parent|merit/merit.cpp|0|512|256|76.293945||||Merit
couplep|The Couples (Set 2)|parent|merit/merit.cpp|0|512|256|76.293945||||Merit
cppicf|Peter Pepper's Ice Cream Factory (Cassette, set 1)|parent|dataeast/decocass.cpp|270|256|240|57.444853|decocass|||Data East
cppicf2|Peter Pepper's Ice Cream Factory (Cassette, set 2)|clone|dataeast/decocass.cpp|270|256|240|57.444853|decocass|cppicf||Data East
cprobowl|Pro Bowling (Cassette)|parent|dataeast/decocass.cpp|270|256|240|57.444853|decocass|||Data East
cprogolf|Pro Golf (Cassette)|parent|dataeast/decocass.cpp|270|256|240|57.444853|decocass|||Data East
cprosocc|Pro Soccer (Cassette)|parent||||||decocass|||Data East
cptennis|Pro Tennis (Cassette)|parent|dataeast/decocass.cpp|270|256|240|57.444853|decocass|||Data East
cpzn1|ZN1|bios|||||||||Capcom/Sony
cpzn2|ZN2|bios|||||||||Capcom/Sony
cracksht|Crackshot (version 2.0)|parent|exidy/exidy440.cpp|0|320|240|60.000000||||Exidy
crash|Crash|parent|exidy/circus.cpp|0|248|256|57.000000||||Exidy
crater|Crater Raider|parent|midway/mcr3.cpp|0|480|480|30.000000||||Bally Midway
crazyblk|Crazy Blocks|clone|kiwako/mrjong.cpp|90|240|224|60.000000||mrjong||ECI/Kiwako
crazycop|Crazy Cop (Japan)|clone|konami/thunderx.cpp|90|320|224|59.170000||gbusters||Konami
crazyfgt|Crazy Fight|parent|seta/seta.cpp|0|384|224|59.185100||||Subsino
crbalon2|Crazy Balloon (set 2)|clone|taito/crbaloon.cpp|90|256|224|59.559876||crbaloon||Taito
crbaloon|Crazy Balloon (set 1)|parent|taito/crbaloon.cpp|90|256|224|59.559876||||Taito
crgolf|Crowns Golf (set 1)|parent|nasco/crgolf.cpp|0|256|240|60.000000||||Nasco
crgolfa|Crowns Golf (set 2)|clone|nasco/crgolf.cpp|0|256|240|60.000000||crgolf||Nasco
crgolfb|Champion Golf (bootleg Set 1)|clone|nasco/crgolf.cpp|0|256|240|60.000000||crgolf||Nasco
crgolfc|Champion Golf|clone|nasco/crgolf.cpp|0|256|240|60.000000||crgolf||Nasco
crgolfhi|Crowns Golf in Hawaii|parent|nasco/crgolf.cpp|0|256|240|60.000000||||Nasco
crimec|Crime City (World)|parent|taito/taito_b.cpp|0|320|224|60.000000||||Taito
crimecj|Crime City (Japan)|clone|taito/taito_b.cpp|0|320|224|60.000000||crimec||Taito
crimecu|Crime City (US)|clone|taito/taito_b.cpp|0|320|224|60.000000||crimec||Taito
crimfght|Crime Fighters (US 4 players)|parent|konami/crimfght.cpp|0|320|224|59.185606||||Konami
crimfgt2|Crime Fighters (World 2 Players)|clone|konami/crimfght.cpp|0|320|224|59.185606||crimfght||Konami
crimfgtj|Crime Fighters (Japan 2 Players)|clone|konami/crimfght.cpp|0|320|224|59.185606||crimfght||Konami
critcrsh|Critter Crusher (EA 951204 V1.000)|parent|sega/stv.cpp|0|352|224|59.764802|stvbios|||Sega
crkdown|Crack Down (US, FD1094 317-0058-04d)|parent|sega/segas24.cpp|0|496|384|57.524160||||Sega
crkdownj|Crack Down (Japan, FD1094 317-0058-04b)|clone|sega/segas24.cpp|0|496|384|57.524160||crkdown||Sega
crmaze|The Crystal Maze: Team Challenge (SWP)|parent||||||bctvidbs|||Barcrest
crmazea|The Crystal Maze (AMLD version SWP)|clone||||||bctvidbs|crmaze||Barcrest
crmazeb|The Crystal Maze - Now Featuring Ocean Zone (AMLD Version SWP)|clone||||||bctvidbs|crmaze||Barcrest
croquis|Croquis (Germany)|clone|sega/deniam.cpp|0|320|224|60.000000||logicpro||Deniam
crospang|Cross Pang|parent|f32/crospang.cpp|0|320|240|60.000000||||F2 System
crossbow|Crossbow (version 2.0)|parent|exidy/exidy440.cpp|0|320|240|60.000000||||Exidy
crshrac2|Lethal Crash Race (set 2)|clone|vsystem/crshrace.cpp|270|320|224|60.000000||crshrace||Video System
crshrace|Lethal Crash Race (set 1)|parent|vsystem/crshrace.cpp|270|320|224|60.000000||||Video System
crsword|Crossed Swords|parent|neogeo/neogeo.cpp|0|320|224|59.185606|neogeo|||Alpha Denshi/neogeo
cruisin|Cruisin|clone|jaleco/citycon.cpp|0|240|224|59.637405||citycon||Jaleco/Kitkorp
crush|Crush Roller (Kural Samno)|parent|pacman/pacman.cpp|90|288|224|60.606061||||Kural Samno Electric
crush2|Crush Roller (Kural Esco - bootleg?)|clone|pacman/pacman.cpp|90|288|224|60.606061||crush||Kural Esco Electric
crush3|Crush Roller (Kural - bootleg?)|clone|pacman/pacman.cpp|90|288|224|60.606061||crush||Kural Electric
crush4|Crush Roller (Kural TWT)|clone|pacman/pacman.cpp|90|288|224|60.606061||crush||Kural TWT
