name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
pbobbl2n|Puzzle Bobble 2|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Taito
puzzledp|Puzzle De Pon|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Taito/Visco
puzzldpr|Puzzle De Pon R|clone|neogeo/neogeo.cpp|0||||neogeo|puzzledp||neogeo/Taito/Visco
4in1boot|Puzzle King [Bootleg]|parent|kaneko/snowbros.cpp|0|||||||K1 Soft
uopoko|Puzzle Uo Poko (International)|parent|misc/cave.cpp|0|||||||Cave/Jaleco
joyjoy|Puzzled|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
quartet1|Quartet (8751 315-5194) [Incomplete Sound]|clone|sega/segas16a.cpp|0|||||quartet||Sega\System16
quartet|Quartet (Rev A, 8751 317-unknown) [Incomplete Sound]|parent|sega/segas16a.cpp|0|||||||Sega\System16
quart21|Quartet 2 (8751 317-0010) [Incomplete Sound]|clone|sega/segas16a.cpp|0|||||quartet||Sega\System16
quart2|Quartet 2 (unprotected) [Incomplete Sound]|clone|sega/segas16a.cpp|0|||||quartet||Sega\System16
qadj|Quiz & Dragons (940921 Japan)|clone|capcom/cps1.cpp|0|||||qad||Capcom\CPS1
qad|Quiz & Dragons (capcom quiz game 920701 USA)|parent|capcom/cps1.cpp|0|||||||Capcom\CPS1
quizdais|Quiz Daisousa Sen - the last count down|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
quizkof|Quiz King of Fighters|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Saurus
quizdai2|Quiz Meintantei Neo Geo - quiz daisousa sen part 2|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
qndream|Quiz Nanairo Dreams - nijiirochou no kiseki (nanairo dreams 960826 Japan)|parent|capcom/cps2.cpp|0|||||||Capcom\CPS2
qtono2|Quiz Tonosama no Yabou 2 Zenkoku-ban (tonosama 2 950123 Japan)|parent|capcom/cps1.cpp|0|||||||Capcom\CPS1
rachero|Racing Hero (FD1094 317-0144)|parent|sega/segaxbd.cpp|0|||||||Sega
rotd|Rage of the Dragons|parent|neogeo/neogeo.cpp|0||||neogeo|||Evoga/neogeo/Playmore
rchase|Rail Chase (Japan)|parent|sega/segaybd.cpp|0|||||||Sega
rainbowe|Rainbow Islands (Extra)|clone|dec/rainbow.cpp|0|||||rainbow||Taito
rainbow|Rainbow Islands (new version)|parent|dec/rainbow.cpp|0|||||||Taito
rainbowo|Rainbow Islands (old version)|clone|dec/rainbow.cpp|0|||||rainbow||Taito
rastanu|Rastan (US set 1)|clone|taito/rastan.cpp|0|||||rastan||Taito
rastanu2|Rastan (US set 2)|clone|taito/rastan.cpp|0|||||rastan||Taito
rastan|Rastan (World)|parent|taito/rastan.cpp|0|||||||Taito
rastsag1|Rastan Saga (Japan rev 1)|clone|taito/rastan.cpp|0|||||rastan||Taito
rastsaga|Rastan Saga (Japan)|clone|taito/rastan.cpp|0|||||rastan||Taito
rbff2k|Real Bout Fatal Fury 2 - the newcomers (Korean Release)|clone|neogeo/neogeo.cpp|0||||neogeo|rbff2||neogeo/SNK
rbff2|Real Bout Fatal Fury 2 - the newcomers (set 1)|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
rbff2h|Real Bout Fatal Fury 2 - the newcomers (set 2)|clone|neogeo/neogeo.cpp|0||||neogeo|rbff2||neogeo/SNK
rbffspec|Real Bout Fatal Fury Special|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
rbff1|Real Bout Fatal Fury|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
ridhero|Riding Hero (set 1)|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
ridheroh|Riding Hero (set 2)|clone|neogeo/neogeo.cpp|0||||neogeo|ridhero||neogeo/SNK
ringdest|Ring of Destruction - slammasters II (940902 Euro)|parent|capcom/cps2.cpp|0|||||||Capcom\CPS2
riotcity|Riot City (Japan) [Incomplete Sound]|parent|sega/segas16b.cpp|0|||||||Sega\System16/Westone
roboarmy|Robo Army (set 1)|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
roboarma|Robo Army (set 2)|clone|neogeo/neogeo.cpp|0||||neogeo|roboarmy||neogeo/SNK
rockmanj|Rockman - the power battle (950922 Japan)|clone|capcom/cps1.cpp|0|||||megaman||Capcom\CPS1
rckman2j|Rockman 2 - the power fighters (960708 Japan)|clone|capcom/cps2.cpp|0|||||megaman2||Capcom\CPS2
ryukyu|RyuKyu (Japan, FD1094 317-5023) [Incomplete Sound]|parent|sega/segas16b.cpp|0|||||||Sega\System16/Success
samuraia|Samurai Aces (World)|parent|psikyo/psikyo.cpp|270|||||||BanPresto/Psikyo
samsho2|Samurai Shodown II|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
samsho3|Samurai Shodown III (set 1)|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
samsho3a|Samurai Shodown III (set 2)|clone|neogeo/neogeo.cpp|0||||neogeo|samsho3||neogeo/SNK
samsho4|Samurai Shodown IV - Amakusa's revenge|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
samsho5b|Samurai Shodown V (bootleg) [Bootleg]|clone|neogeo/neogeo.cpp|0||||neogeo|samsho5||neogeo
samsho5|Samurai Shodown V (set 1)|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK/Yuki Enterprise
samsho5h|Samurai Shodown V (set 2)|clone|neogeo/neogeo.cpp|0||||neogeo|samsho5||neogeo/SNK/Yuki Enterprise
samsh5sp|Samurai Shodown V Special (set 1, uncensored)|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK/Yuki Enterprise
samsh5sh|Samurai Shodown V Special (set 2, censored)|clone|neogeo/neogeo.cpp|0||||neogeo|samsh5sp||neogeo/SNK/Yuki Enterprise
samsh5sn|Samurai Shodown V Special (set 3, less censored)|clone|neogeo/neogeo.cpp|0||||neogeo|samsh5sp||neogeo/SNK/Yuki Enterprise
samsho|Samurai Shodown|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
wofa|Sangokushi II (921005 Asia)|clone|capcom/cps1.cpp|0|||||wof||Capcom\CPS1
slammast|Saturday Night Slam Masters (Slam Masters 930713 etc)|parent|capcom/cps1.cpp|0|||||||Capcom\CPS1
slammasu|Saturday Night Slam Masters (slam masters 930713 USA)|clone|capcom/cps1.cpp|0|||||slammast||Capcom\CPS1
savagere|Savage Reign|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
sdibl|SDI - Strategic Defense Initiative (bootleg)|clone|sega/segas16b.cpp|0|||||sdi||Sega\System16
sdi|SDI - Strategic Defense Initiative (Europe, System 16A, FD1089B 317-0027)|parent|sega/segas16a.cpp|0|||||||Sega\System16
sdib|SDI - Strategic Defense Initiative (System 16B, FD1089A 317-0028)|clone|sega/segas16b.cpp|0|||||sdi||Sega\System16
sengoku|Sengoku (set 1)|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
sengokh|Sengoku (set 2)|clone|neogeo/neogeo.cpp|0||||neogeo|sengoku||neogeo/SNK
sengoku2|Sengoku 2|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
sengoku3|Sengoku 3|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
sngkace|Sengoku Ace (Japan)|clone|psikyo/psikyo.cpp|270|||||samuraia||BanPresto/Psikyo
